CO_NAME,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bajaj Holdings,0,0,0,0,0,0,0,0,0,7351.44,4584.58,2606.9,4743.32,4853.1,9228.12,10941.1,27792.63,24540.7,6996.09,3009.6,6441.4,8814.72,9051.77,10178.03,11295.94,14486.62,16259.47,24167.74,29201.94,38039.48,20027.19,36640.56
Bajaj Electrical,0,0,0,0,0,0,0,0,0,22.46,19.96,14.77,14.69,9.63,29.51,259.37,433.3,336.48,749.26,253.24,2178.78,2418.86,1940.68,1721.19,2872.11,2331.64,1921.56,3167.85,5731.96,5722.6,3042.72,11194.81
Force Motors,0,0,0,0,0,0,0,0,0,173.98,305.97,0,131.8,118.62,420.9,420.05,774.98,411.48,194.8,81.39,460.58,1049.79,631.39,438.3,455.04,1842.56,3762.89,5914,3602.09,2240.67,969.39,1541.47
Sanathnagar Ent.,0,0,0,0,0,0,0,0,0,3.13,3.53,2.08,2.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.32,2.24,3.29
Balkrishna Inds,0,0,0,0,0,0,0,0,0,16.68,18.88,11.14,18.32,27.85,255.65,496.62,1724.49,877.47,1048.75,267.26,1241.48,1291.36,2503.46,2630.56,4621.73,6244.15,6084.66,13393.98,20740.04,19226.36,15293.32,32679.3
Ballarpur Inds.,0,0,0,0,0,0,0,0,0,128.65,307.45,355.09,363.32,465.68,1077.21,1555.6,2241.53,1832.74,1557.09,817.14,1576.31,2379.47,1697.74,1140.57,860.67,900,898.03,1281.5,1614.23,378.98,40.1,139.69
Bannari Amm.Sug.,0,0,0,0,0,0,0,0,0,69.64,109.71,84.91,143.1,96.21,276.85,515.26,1326.92,620.43,911.54,777.69,1030,664.09,628.97,997.8,938.08,920.92,1649.65,2432.76,2163.1,1924.84,1107.63,1968.73
Baroda Rayon,149.15,148.23,350.35,110.67,291.36,196.79,89.67,47.45,40.83,18.91,15.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BASF India,0,0,0,0,0,0,0,0,0,467.79,260.82,172.19,281.48,253.29,339.13,557.88,621.31,538.57,548.72,503.9,1445.3,2566.66,2171.21,2502.59,3699.56,4830.3,3777.7,5906.27,8261.9,6379.86,4866.66,8976.4
Bata India,0,0,0,0,0,0,0,0,0,1442.33,560.48,216.99,216.74,134.46,273.3,425.24,1540.72,887.16,915.44,667.06,1468.43,2508.54,4943.17,4600,7319,7009.57,6516.99,7293.3,9382.51,18103.1,15823.67,18053.62
Batliboi,0,0,0,0,0,0,0,0,0,2.34,2.36,1.19,2.3,3.17,17.89,58.05,239.96,128.99,112.18,35.56,82.89,67.4,45.03,31.26,34.59,53.7,60.88,68.49,66.62,45.23,17.8,44.37
Bayer Crop Sci.,0,0,0,0,0,0,0,0,0,451.32,150.04,68.4,218.65,145.98,760.97,816.86,816.27,842.53,916.01,985.13,2568.09,3620.77,3169.68,4759.55,5519.18,12180,13323.86,13413.48,14430.41,15053.22,15544.35,23844.03
BCL Forgings,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,6.42,4.1,18.35,15.68,7.89,10.74,18.92,0,0,0,0,0,0,0,0,0
Berger Paints,0,0,0,0,0,0,0,0,0,174.82,265.04,233.82,190.91,188.51,408.17,833.07,1703.02,1166.99,1152.64,1109.6,2029.58,3048.7,3680.77,6770.17,7953.91,14475.77,16955.54,23449.33,24902.1,31430.61,48308.47,74270.08
Bhagawati Oxygen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.52,3.59,2.55,4.97,4.5,2.64,3.6,9.22,7.16,3.34,2.31,2.97
Bharat Bijlee,0,0,0,0,0,0,0,0,0,15.82,8.76,3.96,8.06,8.36,41.25,217.4,783,699.95,1387.97,248.56,518.45,535.6,338.58,239.06,282.46,350.26,495.64,517.12,851.89,618.2,320.61,631.05
Bharat Forge,0,0,0,0,0,0,0,0,0,301.44,547.3,308.79,402.42,908.09,2764.02,5457.68,9886.79,7012.36,5952.55,2181.97,5645.29,8061.86,7472.88,4767.74,9816.01,29707.61,20318.78,24232.15,32598.19,23819.51,10899.43,27756.07
Bharat Gears,9.82,15.24,60.25,29.52,24.1,28.92,21.69,13.38,12.44,9.92,9.86,7.39,5.08,3.94,13.79,38.28,55.17,48.52,34.53,12.67,41.41,40.51,54.58,29.83,30.73,56.81,49.23,90.83,137.78,139.57,23.78,68.4
Bharat Pipes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sintex Inds.,0,0,0,0,0,0,0,0,0,40.04,38.58,37.71,36.33,46.45,160.09,787.06,2215.19,2350.46,4841.65,1340.43,4017.2,4138.68,2354.63,1443.39,1360.42,5124.86,3442.91,5762.88,1066.4,503.2,36.83,202.54
Bimetal Bearings,0,0,0,0,0,0,0,0,0,34.47,53.62,45.58,31.41,39.45,72.81,98.34,101.88,93.49,79.47,45.65,95.77,94.1,109.35,78.5,89.22,117.96,114.17,145.41,208.18,182.02,72.77,112.99
Birla Corpn.,0,0,0,0,0,0,0,0,0,71.05,102.59,128.99,131.3,91.26,476.31,1397.73,2457.39,1465.5,1508.63,1367.31,3059.61,2614.87,2176.3,1879.43,2230.98,3132,2788.92,5688.34,5492.74,4043.41,3211.32,7319.42
Birla Power Sol.,0,0,0,0,0,0,0,0,0,30.61,29.98,16.35,14.67,12.32,16.82,26.26,61.63,62.13,140.54,40.42,233.77,215.65,111.03,51.24,23.49,19.22,0,0,0,0,0,0
Bliss GVS Pharma,0.92,1.1,5.56,0.97,2.36,2.29,0.79,0.26,0,0.88,2.02,1.31,1.47,1.75,2.35,5.98,14.94,32.18,283.48,101.91,370.3,233.11,239.3,275.4,459,1330.59,1307.9,1819.51,2014.97,1856.12,1039.72,1018.06
Blue Blends (I),0,0,0,0,0,0,0,0,0,3.97,3.46,0,0,0,0,0,0,0,0,0,0,0,0,47.98,0,25.85,157.12,92.56,40.49,8.34,1.56,0
Blue Star,0,0,0,0,0,0,0,0,0,112.74,128.73,64.52,130.35,147.52,254.47,455.06,1274.95,1888.21,3746.74,1392.21,3264.68,3344.27,1695.3,1419.19,1810.41,2768.23,3450.97,6618.74,7238.38,6532.01,4436.7,9028.95
Bombay Burmah,0,0,0,0,0,0,0,0,0,70.99,82.71,64.22,54.42,51.63,72.56,224.81,408.17,372.37,516.59,190.13,491.12,555.87,823.94,788.07,677.83,3067.17,2567.95,5971.08,8155.99,9087.09,5106.26,7749.91
Bombay Dyeing,0,0,0,0,0,0,0,0,0,177.53,213.61,153.54,166.94,174.12,570.63,1316.35,2296.7,2088.22,2371.81,648.45,2133.97,1484.98,2395.19,1807.18,1142.14,1319.76,982.07,1714.24,4943.41,2789.25,945.93,1448.84
Reliance Infra.,0,0,0,0,0,0,0,0,0,1998.54,3277.6,2589.14,3055.69,2968.86,13438.94,9836.4,12989.74,11315.66,29593.45,11668.55,24446.6,18393.15,15439.58,8537.97,11441.38,11380.89,14033.15,14949.67,11223.1,3595.07,265.62,921.78
Abbott India,0,0,0,0,0,0,0,0,0,1081.76,633.58,485.51,496.53,414.78,784.86,1004.97,984.72,746.29,760.11,535.57,1209.59,1842.42,3232.66,2865.78,3724.59,8390.35,10003.44,9857.56,11579.34,15505.81,32842.94,31850.88
Borosil Renew.,0,0,0,0,0,0,0,0,0,4.8,4.99,6.26,4.15,2.32,3.3,12.71,49.94,126.67,247.38,88.72,170.28,271.26,314.88,190.68,272.1,493.19,623.7,1441.27,1912.68,1953.8,424.3,3202.46
Britannia Inds.,0,0,0,0,0,0,0,0,0,2712.15,1726.7,1922.07,1453.12,1295,1569.25,2111.16,4260.66,2989.36,3223.12,3367.06,3821.21,4426.25,7077.46,6268.01,10115.98,25891.21,32100.13,40595.07,59686.8,74064.9,64677.55,87389.43
CESC,0,0,0,0,1084.32,769.6,430.98,287.23,247.51,161.47,160.7,131.33,79.49,97.75,673.51,1421.59,2826.46,3186.87,5144.4,2625.61,4777.71,3886.26,3400.24,3308.41,6252.62,7977.28,6274.59,11145.4,12826.88,9644.19,5418.93,7860.63
Oriental Aromat.,0,0,0,0,0,0,0,0,0,15.95,10.52,9.23,12.06,10.9,17.31,26.14,23.91,51.02,34.55,24.11,57.64,91.67,54.4,79.82,102.81,127.84,222.28,372.54,731.59,763.77,451.13,1974.79
Caprihans India,0,0,0,0,0,0,0,0,0,33.42,21.6,15.49,12.21,15.3,23.17,75.96,104.58,94.4,49.37,27.84,85.87,84.36,65.65,50.88,51.6,87.18,104.97,129.33,115.15,78.85,40.44,106.09
Graphite India,0,0,0,0,0,0,58.87,36.53,14.49,48.71,26.85,19.86,27.48,81.97,282.93,568.36,865.24,754.33,778.92,373.97,1517.78,1822.85,1631.39,1544.44,1743.73,1627.48,1394.98,2192.11,14193.06,8730.36,2483.22,10001.28
