CO_NAME,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Sayaji Industr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.93,176.96,56.88,98.4
Terraform Magnum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terraform Real,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speedage Comm.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0
Motor & Gen Fin,0,0,0,0,79.85,103.81,71.86,49.91,0,25.55,17.25,6.79,0,9.1,14.52,19.01,39.01,79.96,63.21,38.24,84.13,83.46,68.35,87.14,69.81,86.75,89.07,62.54,77.45,90.04,53.83,97.01
India Lease Dev.,0,0,0,0,0,0,0,0,0,11.24,10.12,12.26,12.24,4.13,4.23,5.99,3.35,6.43,7.14,7.97,8.67,7.79,12.91,12.38,7.47,18.11,15.29,12.35,11.55,12.49,0,16.61
United Nilgiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.8,74.52,73.1,94.93,127.31,96.91,203.31,181.38,170.78,157.67,96.38,148.95
W I Plywoods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.13,77.66,36.5,50.92
Duncan Engg.,0,0,0,0,0,0,0,0,0,22.2,0,11.56,5.64,0,22.14,30.34,36.67,56.28,57.81,28.16,51.08,42.61,27.75,14.8,19.46,24.72,25.92,29.58,25.7,26.49,32.56,42.51
India Motor Part,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.82,77.38,65.06,180.13,284.96,275.33,354.85,349.44,549.95,557.86,685.57,865.28,760.45,624,853.44
Standard Shoe,0,0,0,0,0,0,0,0,0,0,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,12.07,2.15,5.23,0,5.64,0,4.14,0
Uniworth,0,0,0,0,0,0,0,0,0,32.63,16.15,8.67,3.4,0,0,0,0,0,0,5.2,13.6,8.09,4.38,2.62,2.11,2.79,4.45,4.35,3.06,0,2.38,2.35
Western Paques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suryalak. Cott.,0,0,0,0,0,0,0,0,0,1.18,0,0,3.08,3.92,20.96,138.05,264.66,76.55,41.28,16.93,76.29,112.42,76.88,87.12,61.86,128.04,172.22,178.23,105.79,50.52,23.92,49.43
Rapid Invest.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruchi Infrastr.,0,0,0,0,0,0,0,0,0,78.24,0,0,0,0,26.36,201.48,343.31,666.53,572.18,172.26,1232.8,437.16,333.51,473.08,236.03,160.5,133.41,73.07,74.91,59.52,38.17,119.04
Indo Count Inds.,0,0,0,0,0,0,0,0,0,17.66,20.01,10,8.24,8.95,12.36,33.78,59.07,48.06,35.32,11.9,32.68,51.09,23.63,35.13,139.79,1495.5,3823.04,3885.81,1674.94,957.39,470.8,2607.65
Guj. Lease Fin.,0,0,0,0,0,0,0,0,0,16.18,21.57,4.48,2.71,3.26,6.65,15.95,19.37,13.13,15.82,6.92,10.74,9.88,6.76,5.21,3.12,5.78,6.65,12.21,0,0,3.64,6.92
Hathway Bhawani,0,0,0,0,0,0,0,0,0,0,16.92,11,11.76,4.96,4.7,6.79,7.76,14.52,10.88,3.98,7.12,7.48,8,10.12,7.14,8.33,5.65,3.13,2.2,3.13,7.58,13.24
Spanco Ltd,0,0,0,0,0,0,0,0,0,0,47.48,7.58,14.64,8.74,20.69,117.91,351.59,418.47,332.98,57.51,217.96,396.77,255.35,32.52,23.22,10.25,0,0,0,0,0,0
Sat Industries,0,0,0,0,0,0,0,0,0,0,0.28,0,109.62,53.79,27.46,27.95,42.58,41.33,136.71,56.62,133.92,132.35,38.9,33.27,5.86,12.65,50.31,240.59,394.74,277.56,189.98,207.51
IOL Chemicals,0,0,0,0,0,0,0,0,0,0,0.55,0.97,0.89,0,2.21,17.63,50.72,34.68,157.88,170.61,129.5,97.61,62.63,64.98,55.62,136.77,430.25,354.94,446.83,1069.59,1002.07,3232.32
Hercules Hoists,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6,15.95,37.74,141.42,221.29,381.34,138.32,368.24,365.6,405.92,335.52,368.32,555.52,463.36,488.32,334.88,370.24,161.44,357.28
Kanha Vanaspati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exdon Trading Co,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNI Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.21,27.44,36.92,26.47,23.99,108.86,49.05,17.37,19.12,12.9,95.4,47.53,31.69,31.69,22.62,20.21,19.63
Trans Freight,0,0,0,0,0,0,0,0,0,5.28,6.55,2,1.16,1.02,3.64,5.02,3.21,6.88,7.67,5.15,7.81,5.53,3.32,6.91,8.26,8.01,6.21,6.92,13.14,6.38,3.45,7.27
Atma Steels,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE Nora India,0,0,0,0,0,0,0,0,0,23.48,8.11,3.41,3.86,7.99,34.97,100.75,155.35,56.35,54.02,22.3,38.59,44.92,60.64,80.9,60.67,69.03,169.23,122.02,226.74,157.92,69.35,133.31
Victoria Enterpr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Origin Agro.,0,0,0,0,0,0,0,0,0,0,1224.99,82.84,33.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anand Proj.,0,0,0,0,0,0,0,0,0,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terrascope Ven.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99,149.49,321.76,0,0,0,0,184.97,14.6,3.1
Kratos Energy,0,0,0,0,0,0,0,0,0,19.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.35,0,0,0,0,0,0
Chambal Brewer,0,0,0,0,0,0,0,0,0,2.17,10.86,7.27,0,0,0,0,0,0,0,0,0,0,0,10,4.16,7.44,6.14,6.93,3.89,1.52,1.46,0.97
Dalal Street Inv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.28,0,44.45,157.79,362.45,710.62,0,400.21,0,19.81,4.79,3.49,4.6,9.8,5.73,7.62
PS IT Infra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.35,2965.94,2991.74,481.15,480.88,287.35,202.68,0,0
Arshiya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.08,601.58,949.05,288.76,1069.54,1202.01,843.03,117.61,109.56,516.09,451.36,1037.03,1663.7,730.84,174.72,881.25
AYM Syntex,0,0,0,0,0,0,0,0,0,5.06,91.34,74.22,61.6,29.32,50.32,79.07,74.06,46.72,0,8.87,29.14,32.76,25.28,36.1,30.1,134.79,378.47,312.74,276.96,163.44,80.96,231.91
VJTF Eduservices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,6.82,0,8.57,77.88,107.89,92.4,96.8,88.44,111.94,109.12,0,96.98
Lancor Holdings,0,0,0,0,0,0,0,0,0,29.44,27.2,0,0,0,0,18.5,58.83,83.41,115.32,34.83,213.43,107.83,78.47,79.08,69.96,164.02,107.93,111.78,108.34,67.43,12.96,24.14
MILGREY FIN.&INV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.88,4.38
MSR India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.27,270.07,220.08,462.17,712.43,205.62,232.66,72.31,33.96,58.48
Turbotech Engg.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92,0,0,0,0,0,0,0,974.64,47.16,0,0,0,0,0,0,0
Ardi Invest.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parnax Lab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.76,13.68,31.45,38.38,30.51,28.31,49.85,37.83,28.65,10.3,16.58
PH Trading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0
Kusum Ingots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ind Tra Deco,0,0,0,0,0,0,0,0,0,1.41,14.43,21.85,2.75,2.12,4.48,7.12,4.09,4.87,8.02,3.77,7.86,5.5,5.24,3.14,3.67,6.81,0,0,0,0,0,0
Kesar Petroprod.,0,0,0,0,0,0,0,0,0,5.61,9.76,5.88,2.81,1.34,2,10.02,3.1,0,0,0,0,0,0,0,0,44.91,395.71,423.43,330.62,97.25,26.3,45.92
Mini Diamonds(I),0,0,0,0,0,0,0,0,0,0.35,0.74,0,0,0,0,0,0,0,5.05,1.93,2.78,1.4,0.99,2.27,1.31,7.18,0,0,3.44,0,0,1.67
Sri Vajra,0,0,0,0,0,0,0,0,0,0.13,1.13,0,0,0,1.61,5.65,2.72,3.94,3.78,0,6.17,3.94,1.71,2.24,2.13,4.41,3.83,0,1.71,0,0,0
Apar Inds.,0,0,0,0,0,0,0,0,0,0,46.72,8.12,21.54,31.22,83.24,249.41,511.72,450.03,665.03,252.34,638.52,694.77,582.17,417.21,556.66,1424.76,1777.78,2865.75,2769.12,2579.5,1101.18,1814.51
Orient Bell,0,0,0,0,0,0,0,0,0,6.2,19.96,11.42,9.41,6.79,11.82,23.89,39.8,57.13,40.96,17.48,54.76,58.13,57.39,95.67,70.63,201.71,203.73,245.62,390.5,245.79,79.35,292.96
Donear Inds.,0,0,0,0,0,0,0,0,0,0,11.74,0,20.02,20.54,53.3,111.18,379.6,1069.9,323.7,89.18,138.06,122.46,93.6,61.57,51.48,78.52,139.36,410.02,260.52,222.04,110.5,155.22
United Leasing,0,0,0,0,0,0,0,0,0,0.9,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,2.81,0,0
Esquire Money,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lifeline Injects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamshedpur Cem.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shardul Sec.,0,0,0,0,0,0,0,0,0,9.63,50.14,7,6.39,2.36,7.88,16.47,42.96,69.91,239.05,53.81,121.89,128.36,91.09,64.05,56.96,75.25,73.24,77.18,75.07,94.24,79.01,86.63
Nova Electro,0,0,0,0,0,0,0,0,0,5.42,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sh. Bhawani Pap.,0,0,0,0,0,0,0,0,0,0,3.56,0,2.96,2.77,1.71,4.97,22.66,15.94,15.47,8.14,10.49,14.37,29.6,14.28,8.64,8.05,0,10.45,15.32,0,0,12.02
Asutosh Enterpri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meenakshi Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shamken Multifab,0,0,0,0,0,0,0,0,0,19.8,32.59,43.42,36.35,16.63,5.97,17.16,6.05,3.6,9.65,2.53,3.93,0,0,0,0,0,0,0,0,0,0,0
Maha Rashtra Apx,0,0,0,0,0,0,0,0,0,7.08,16.34,0,0,0.57,1.03,3.68,0,0,0,0,0,19.78,13.44,9.91,8.91,6.95,19.81,120.13,213.31,169.24,97.99,93.18
Nilkamal Ltd,0,0,0,0,0,0,0,0,0,70.36,56.56,22.71,15.51,19.28,38.57,55.88,159.87,128.51,242.95,57.25,329.79,448.05,320.26,256.03,294.37,629.92,1648.96,2911.71,2269.71,2136.54,1496.7,2909.85
Prec. Electronic,0,0,0,0,0,0,0,0,0,2.35,9.35,1.8,1.25,1.55,1.9,29.92,60.11,57.27,46.54,19.39,68.42,42.94,21.12,18.7,13.59,38.78,58.17,41.83,42.17,48.34,25.48,42.66
Triton Corp.,0,0,0,0,0,0,0,0,0,0,0,0,3.37,0.69,0.78,5.63,15.5,396.28,159.91,11.19,11.79,6.6,4.4,8.4,5,9.19,7,7,6.2,3.8,3.8,4
Nahar Poly,0,0,141,31.96,57.7,84,57.96,56.75,42.87,32.36,80.51,52.2,44.59,63.15,103.42,231.15,305.84,79.54,56.92,23.36,60.36,78.19,56.55,37.87,25.79,50.65,80.4,149.37,130.93,92.45,64.05,272.31
TECIL Chemical,0,0,0,0,0,0,0,0,0,2.91,4.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dhanlaxmi Cotex,0,0,0,0,0,0,0,0,0,19.17,8.43,20.48,0,18.32,0,0,13.18,17.39,0,0,25.06,11.18,4.4,5.88,0,8.33,0,0,0,12.11,0,6.37
Modern India,0,0,0,0,0,0,0,0,0,0,11.83,0,10.06,6.57,8.82,22.26,61.98,102.23,768.88,555.82,570.27,368.29,154.49,161.43,183.96,204.61,183.96,172.88,149.8,104.18,157.87,179.83
Nijjer Agro Food,0,0,0,0,0,0,0,0,0,3.16,3.57,2.91,1.89,2.24,2.55,7.97,11.63,7.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kedia Construct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0,0.67,0,0,0,0,0,0
Sequent Scien.,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,14.69,25.97,25.97,45.04,59.22,49.9,289.5,179.58,150.4,312.16,519.37,1559.62,3487.78,3140.54,1886.52,1773.77,1929.84,5983.26
Thacker & Co.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39,0,0,0,0,0,27.25,20.27,20.58,0,17.95,16.32,9.79,22.95
Nitin Castings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.66,5.83,5.96,8.13,7.71,4.91,5.48,8.42,7.74,26.94,27.51,39.05,35.73,31.62
Manipal Fin. Cor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.62,0,4.54,0,0,0,0,0,0,0,4.69
Nivi Trading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M India,0,0,0,0,0,0,0,0,0,329.65,534.2,494.53,351,270.76,467.71,573.64,1602.48,1770.86,2051.31,990.63,2507.63,3776.58,4141.39,4238.59,3978.31,8981.01,12152.22,13054.04,21845.32,27124.52,21317.09,34078.85
Eldeco Housing,0,0,0,0,0,0,0,0,0,2.07,1.24,0,0,0,2.96,8.22,54.52,41.09,27.72,9.43,27.97,43.38,40.47,30.62,31.99,36.88,49.25,131.99,357.54,296.28,145.8,374.12
TPI India,0,0,0,0,0,0,0,0,0,67.69,47.78,19.91,11.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4,0,0
Sanghi Polyester,0,0,0,0,0,0,0,0,0,22.32,25.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johnson Con. Hit,0,0,0,0,0,0,0,0,0,44.37,33.52,23.18,21.34,29.7,49.25,78.87,186.21,183.45,265.99,76.69,551.73,505.35,283.67,350.48,469.3,3937.11,3295.97,4943.96,6787.85,5574.63,5848.84,7195.56
Northern Project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HB Stockholdings,0,0,0,0,0,0,0,0,0,10.18,22.01,3.82,2.67,3.31,6.77,29.92,66.14,60.04,114.73,20.79,61.26,37.11,29.02,22.7,22.55,25.46,17.75,38.78,79.58,5,4.97,11.53
Detroit Inds.,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yuken India,0,0,0,0,0,0,0,0,0,4.7,2.4,0,1.62,2.67,15.9,48.93,58.06,49.6,50.53,13.65,46.28,72.09,49.32,37.58,48.66,68.22,92.1,314.82,1199.4,811.62,390,551.82
Amara Raja Batt.,0,0,0,0,0,0,0,0,0,293.72,111.94,76.97,92.09,54.67,64.75,105.53,266.87,387.09,1099.7,315.58,1397.67,1615.46,2500.7,4674.28,6721.47,14203.06,15023.81,15185.23,13622.3,12280.56,8166.55,14578.85
JM Financial,0,0,0,0,0,0,0,0,0,4.31,9.12,8.16,12.01,16.15,29.91,187,749.32,2967.3,3945.3,1545,2850,1800,1173.59,1221.35,1884.47,3765.79,3006.04,7051.41,10787.71,7891.16,5413.28,8050.51
ADC India,0,0,0,0,0,0,0,0,0,41.4,194.76,52.81,37.79,21.99,34.2,53.59,95.15,53.29,51.61,25.23,60.72,59.87,61.99,63.23,58.05,144.16,113.53,119.88,91.89,104.42,53.77,95.31
Swan Energy,0,0,0,0,0,0,0,0,0,85.5,49.4,0,0,0,12.97,80.75,185.82,590.42,516.8,367.17,1405.05,932.9,1098.68,1175.15,1376.85,1364.68,1331.5,3123.06,4361.21,2623.32,2451.12,3319.45
Ind-Agiv Commer.,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55,2.45,0,0,3.39,2.29
Mahashree Trdg.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T N Telecom.,0,0,0,22.31,23.48,0,11.74,4.11,8.04,31.96,140.67,34.01,33.66,16.32,16.21,28.68,25.87,23.92,29.7,11.81,17.68,31.98,16.67,15.99,14.98,21.65,13.2,13.34,14.12,5.3,7.17,21.79
RCS Vanaspati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dhenu Buildcon,0,0,0,0,0,0,0,0,0,1.68,1.12,0,0,0,0,0,0.6,0,0,0,0,0,76.34,120.96,5.22,5.75,7.19,5.12,4.98,0,0,3.81
Sunraj Diamond,0,0,0,0,0,0,0,0,0,0,1.34,1.34,1.23,0.93,2.19,5.56,3.95,2.48,4.77,3.41,5.23,7.73,8.77,8.95,8.37,4.01,2.4,3.04,2.38,3.72,0,0.96
Master Chemicals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bombay Wire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16
EMCO,0,0,0,0,0,0,0,0,0,24.98,127.56,21.19,15.37,14.4,72.6,194.3,622.52,843.19,1231.57,182.87,513.77,409.48,192.04,122.71,163.4,223.34,175.02,189.09,69.95,24.92,2.65,9.78
Twin Roses Trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agro Tech Foods.,0,0,0,0,0,0,0,0,0,571.72,164.5,108.45,114.54,63.85,121,165.11,346.42,186.06,297.8,229.44,602.18,908.39,1076.54,1201.56,1231.9,1606.59,1123.46,1320.37,1541.16,1448.92,933.86,2043.06
Suchak Trading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,13.58,0,0,0,0,0,0,0
Coventry Coil.,0,0,0,0,0,0,0,0,0,0.16,1.35,1.35,1.13,0.97,1.86,4.24,5.12,4.51,5.21,6.45,3.08,3.02,2.18,1.25,0.74,0.93,0,1.5,1.6,0.69,0,0.35
Kalyanpur Cement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.09,57.16,65.88,0,0,0,0,0,0,0,0,0
Neelamalai Agro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.02,37.8,0,35.73,0,23.75,19.66,38.51,0,0,0,50.53,63.25,87.16,85.43,54.05,98.29
Radico Khaitan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236.88,644.86,1550.92,1275.07,1124.39,657.73,1696.91,1729.11,1726.43,1725.04,1932.55,1186.81,1272.62,1829.44,4413.8,5273,3567.37,7490.51
Hemadri Cements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bheema Cements,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.17,95.73,180.33,75.34,41.25,29,38.61,28.11,0,0,0,0,0,0
Sandur Manganese,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,35.67,38.51,360.06,182,617.44,521.89,353.72,292.16,478.76,514.28,406,607.47,979.13,832.65,334.33,911.13
India Gelatine,0,0,0,0,0,0,0,0,0,30.44,24.59,16.75,14.25,6.91,11.66,17.81,20.78,21.1,19.03,23.92,42.77,30.17,31.96,64.58,63.69,65.57,69.09,79.76,68.65,60.89,56.74,63.87
Cholaman.Inv.&Fn,0,0,0,0,0,0,0,0,0,43.78,64.41,50.1,61.47,95,236.43,299.24,837.75,414.41,844.79,171.67,622.59,2058.77,2452.84,3883.29,4125.33,8442,11140.21,15072.19,22662.42,22632.98,12535.44,45823.56
Star Paper Mills,0,0,0,0,0,0,0,0,0,5.46,17.17,15.3,6.63,14.6,32.55,90.07,96.08,51.2,46.05,24.98,50.97,41.05,26.07,14.05,13.42,30.75,53.85,275.91,311.65,196.84,110.6,188.18
ISGEC Heavy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428.86,917.38,630.14,622.54,626.45,802.21,4136.04,3011.4,4429.75,4783.98,4448.54,1877.58,3676.48
S & S Power Swit,0,0,0,25.54,35.86,85.04,88.74,34.76,10.42,6.51,8.34,2.33,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.96,11.81
Innoventive Ven.,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,13.2,0,0,0,0,0,0,0
Jagsonpal Pharma,0,0,0,0,0,0,0,0,0,62.22,219.41,116.91,41.43,27.84,35.04,74.93,79.38,44.27,40.87,20.33,50.96,41.03,33.51,26.49,26.83,74.66,85.8,99.81,70.47,68.9,45.72,208.41
NEPC India,0,0,0,0,0,0,0,0,0,27.78,28.44,12.12,0,0,0,138.52,126.68,121.55,100.08,36.08,52.78,28.4,20.85,12.88,19.53,16.07,9.97,10.39,0,0,0,0
Binayaka Tex Pr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.7,9.89,14.57,29.64,22.72,0,25.79,31.08,20.84,41.18,0,30.76,31.87,0
Mardia Chemicals,0,0,0,0,0,0,0,0,0,36.71,14.36,6.78,5.79,7.18,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mah. Corporation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.61,0,30.34,5.84,2.33,2.1,4.36,14.16,8.66,6.16,4.6,3.52,3.11,3.92,4.74,2.3,6.63
Sri Chakra Cem.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJ Corp,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,7.72,18.57,76,47.62,50.09,59.15,52.64,52.47,0,25.61,0,0,10.02,10.18
Jetking Infotrai,0,0,0,0,0,0,0,0,0,4.3,8.17,3.49,3.26,3.02,5.8,18.33,36.06,74.9,115.93,64.29,76.48,67.35,31.16,27.24,18.91,24.74,23.68,27.36,34.32,19.82,11.08,19.64
Mah. Seamless,0,0,0,0,0,0,0,0,0,42.59,58.52,63.75,121.33,400.6,485.91,929.16,1950.11,3565.19,2156.41,990.38,2511.22,2298.9,2772.22,1552.59,1336.47,1322.24,966.8,2358.39,2849.83,3329.88,1295.44,1847.51
Rel. Indl. Infra,0,0,0,0,0,0,0,0,0,47.57,98.15,52.55,51.04,52.85,85.54,138.01,591.92,595.85,1384.67,437.6,1223.55,952.06,654.74,470.74,581.65,601.13,654.28,689.69,655.11,494.22,314.31,550.55
Tamilnad Hosp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maral Overseas,0,0,0,0,0,0,0,0,0,105.62,54.4,37.26,23.61,26.28,32.64,69.49,63.97,38.19,29.92,10.81,57.16,61.43,37.98,40.93,72.64,108.55,99,175.38,128.06,105.02,39.14,135.32
I G Petrochems,0,0,0,0,0,0,0,0,0,16.17,26.43,11.84,5.65,5.79,11.05,37.48,86.92,141.89,137.19,47.73,136.11,87.46,73.14,73.91,72.37,166.29,317.19,1156.19,1976.11,920.15,285.16,1275.52
Rajapalayam Mill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.53,107.21,194.51,163.76,200.89,75.68,157.67,146.05,141.55,176.97,169,218.08,254.54,625.97,806.74,614.57,367.34,614.52
Balrampur Chini,0,0,0,0,0,0,0,0,0,161.24,157.74,164.09,229.92,209.52,577.92,1608.69,4658.71,1635.64,2064.44,1351.59,2384.66,1799.23,1393.73,1067.59,1364.76,1211.11,2636.88,3418.23,1722.35,3120.47,2286.9,4504.5
White Hall Comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bajaj Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neycer India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sterling Intl,0,0,0,0,0,0,0,0,0,30.6,104.51,233.5,190.54,152.06,322.98,157.66,453.92,750.94,3554.8,3597.77,4761.71,6624.87,256.47,95.53,196.77,141.13,54.01,43.15,31.21,0,0,0
High Ground,0,0,0,0,0,0,0,0,0,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,8.35,41.8,346.22,604.88,340.74,112.58,78.85,4.37,0
Geekay Exim,0,0,0,0,0,0,0,0,0,15.96,22.01,7.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahendra Petroch,0,0,0,0,0,0,0,0,0,1.84,3.12,1.74,3.85,10.55,9.01,0,0,7.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sharp India,0,0,0,0,0,0,0,0,0,57.07,31.78,13.49,10.38,9.73,13.49,38.91,49.8,62.52,75.49,30.06,86.77,78.34,79.64,41.5,42.23,186.51,141.11,232.81,94.55,75.23,25.76,77.82
Kirti Investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JMD Ventures,0,0,0,0,0,0,0,0,0,0,0.73,0,0,0,0,0,0,2.84,3.52,44.83,460.91,112.48,96.97,62.73,55.88,36.65,33.04,43.14,30.95,10.22,0,6.2
Fine Line Cir.,0,0,0,0,0,0,0,0,0,2.33,3.12,0,0,0.49,2.5,6.56,8.44,9.24,7.89,3.81,4.6,4.51,4.45,2.54,2.03,3.37,4.81,6.47,5.1,7.65,11.52,10.58
Polar Marmo Aggl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timken India,0,0,0,0,0,0,0,0,0,440.06,261.29,172.71,180.04,153.59,274.68,542.34,1043.9,755.2,627.42,362.62,651.32,1030.51,1396.64,854.94,1247.46,4162.28,2971.6,4383.96,4766.46,4438.28,5719.63,9739.32
Welspun India,0,0,0,0,0,0,0,0,0,12.71,31.98,185.35,328.99,161.07,385.65,698.66,874.16,521.13,330,149.1,668.77,379.01,401.88,684.71,1012.53,3551.26,9981.94,8796.37,5822.38,5993.19,2190.3,8148.32
RKD Agri,0,0,10.45,0,0,0,0.76,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98,0,0,0,0,0,0,0
Mercury Trade Li,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Acrylics,0,0,0,0,0,0,0,0,0,30.69,24.55,18.93,18.24,15.96,43.65,177.95,82.71,53.89,64.61,22.19,68.81,74.06,32.21,28.28,36.13,66.98,154.13,221.25,188.09,106.36,94.72,134.24
